"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"mii-lm-mikrobio-untersuchungsarten","mii-lm-mikrobio-untersuchungsarten","","","",0,*,"","","","null {[]} {[]}
","Mikrobiologische Untersuchungsarten","Die fachlichen Ausprägungen einer mikrobiologischen Untersuchung. Jede Ausprägung ergänzt die von MII_LM_Mikrobio_Untersuchung geerbten gemeinsamen Angaben um ihre spezifischen Attribute.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mikrobio-untersuchungsarten.id","mii-lm-mikrobio-untersuchungsarten.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-mikrobio-untersuchungsarten.extension","mii-lm-mikrobio-untersuchungsarten.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mikrobio-untersuchungsarten.Identifikation","mii-lm-mikrobio-untersuchungsarten.Identifikation","","","",1,*,"","","","Identifier {[]} {[]}
","Identifikation","Eindeutiger Identifikator der Untersuchung.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Identifikation",1,*,"",""
"mii-lm-mikrobio-untersuchungsarten.Status","mii-lm-mikrobio-untersuchungsarten.Status","","","",1,1,"","","","code {[]} {[]}
","Status","Status der Untersuchung (z. B. vorläufig, final, korrigiert).","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Status",1,1,"",""
"mii-lm-mikrobio-untersuchungsarten.Patient","mii-lm-mikrobio-untersuchungsarten.Patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","Patient","Patient, von dem das untersuchte Probenmaterial stammt.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Patient",1,1,"",""
"mii-lm-mikrobio-untersuchungsarten.Probenmaterial","mii-lm-mikrobio-untersuchungsarten.Probenmaterial","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Specimen]]}
","Probenmaterial","Untersuchtes Probenmaterial. Die Probenart wird über das Probenmaterial abgebildet und nicht über präkoordinierte Untersuchungscodes.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Probenmaterial",1,1,"",""
"mii-lm-mikrobio-untersuchungsarten.Untersuchungszeitpunkt","mii-lm-mikrobio-untersuchungsarten.Untersuchungszeitpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","Untersuchungszeitpunkt","Klinisch relevanter Zeitpunkt der Untersuchung.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Untersuchungszeitpunkt",1,1,"",""
"mii-lm-mikrobio-untersuchungsarten.QuelleUntersuchungszeitpunkt","mii-lm-mikrobio-untersuchungsarten.QuelleUntersuchungszeitpunkt","","","",0,1,"","","","Coding {[]} {[]}
","Quelle des Untersuchungszeitpunkts","Gibt an, worauf sich der Untersuchungszeitpunkt bezieht, z. B. Zeitpunkt der Probenentnahme oder Laboreingang.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.QuelleUntersuchungszeitpunkt",0,1,"",""
"mii-lm-mikrobio-untersuchungsarten.Dokumentationszeitpunkt","mii-lm-mikrobio-untersuchungsarten.Dokumentationszeitpunkt","","","",0,1,"","","","dateTime {[]} {[]}
","Dokumentationszeitpunkt","Zeitpunkt, zu dem das Untersuchungsergebnis verfügbar gemacht wurde.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Dokumentationszeitpunkt",0,1,"",""
"mii-lm-mikrobio-untersuchungsarten.InterpretationsbeeinflussendeEigenschaft","mii-lm-mikrobio-untersuchungsarten.InterpretationsbeeinflussendeEigenschaft","","","",0,*,"","","","Coding {[]} {[]}
","Interpretationsbeeinflussende Eigenschaft","Eigenschaft der Untersuchung oder der Probe, die die Interpretation des Ergebnisses einschränkt oder verändert, z. B. Hämolyse, Lipämie oder unzureichende Probenmenge. Die Angabe verändert die Bedeutung des Ergebnisses und darf nicht ignoriert werden.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.InterpretationsbeeinflussendeEigenschaft",0,*,"",""
"mii-lm-mikrobio-untersuchungsarten.Hinweis","mii-lm-mikrobio-untersuchungsarten.Hinweis","","","",0,*,"","","","string {[]} {[]}
","Hinweis","Freitextliche Kommentierung der Untersuchung.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Hinweis",0,*,"",""
"mii-lm-mikrobio-untersuchungsarten.AusloesendeUntersuchung","mii-lm-mikrobio-untersuchungsarten.AusloesendeUntersuchung","","","",0,*,"","","","BackboneElement {[]} {[]}
","Auslösende Untersuchung","Vorangegangene Untersuchung, die diese Untersuchung ausgelöst hat, z. B. eine durch ein Vorergebnis angestoßene Folgediagnostik (Reflextestung).","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.AusloesendeUntersuchung",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mikrobio-untersuchungsarten.AusloesendeUntersuchung.id","mii-lm-mikrobio-untersuchungsarten.AusloesendeUntersuchung.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-mikrobio-untersuchungsarten.AusloesendeUntersuchung.extension","mii-lm-mikrobio-untersuchungsarten.AusloesendeUntersuchung.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mikrobio-untersuchungsarten.AusloesendeUntersuchung.modifierExtension","mii-lm-mikrobio-untersuchungsarten.AusloesendeUntersuchung.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mikrobio-untersuchungsarten.AusloesendeUntersuchung.Untersuchung","mii-lm-mikrobio-untersuchungsarten.AusloesendeUntersuchung.Untersuchung","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/StructureDefinition/mii-lm-mikrobio-untersuchung]]}
","Untersuchung","Die auslösende Untersuchung.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.AusloesendeUntersuchung.Untersuchung",1,1,"",""
"mii-lm-mikrobio-untersuchungsarten.AusloesendeUntersuchung.Art","mii-lm-mikrobio-untersuchungsarten.AusloesendeUntersuchung.Art","","","",1,1,"","","","code {[]} {[]}
","Art","Art der Auslösung: reflex | repeat | re-run.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.AusloesendeUntersuchung.Art",1,1,"",""
"mii-lm-mikrobio-untersuchungsarten.AusloesendeUntersuchung.Grund","mii-lm-mikrobio-untersuchungsarten.AusloesendeUntersuchung.Grund","","","",0,1,"","","","string {[]} {[]}
","Grund","Begründung, warum diese Untersuchung ausgelöst wurde.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.AusloesendeUntersuchung.Grund",0,1,"",""
"mii-lm-mikrobio-untersuchungsarten.Kultur","mii-lm-mikrobio-untersuchungsarten.Kultur","","","",0,*,"","","","BackboneElement {[]} {[]}
","Kultur","Kulturbasierte und mikroskopische Untersuchungen sowie die daran anschließende Empfindlichkeitstestung.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchungsarten.Kultur",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mikrobio-untersuchungsarten.Kultur.id","mii-lm-mikrobio-untersuchungsarten.Kultur.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-mikrobio-untersuchungsarten.Kultur.extension","mii-lm-mikrobio-untersuchungsarten.Kultur.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mikrobio-untersuchungsarten.Kultur.modifierExtension","mii-lm-mikrobio-untersuchungsarten.Kultur.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mikrobio-untersuchungsarten.Kultur.AllgemeineKultur","mii-lm-mikrobio-untersuchungsarten.Kultur.AllgemeineKultur","","","",0,*,"","","","BackboneElement {[]} {[]}
","Allgemeine Kultur","Ergebnis einer nicht zielgerichteten mikrobiologischen Kultur, die prüft, ob in der Probe irgendein Mikroorganismus wächst.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchungsarten.Kultur.AllgemeineKultur",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mikrobio-untersuchungsarten.Kultur.AllgemeineKultur.id","mii-lm-mikrobio-untersuchungsarten.Kultur.AllgemeineKultur.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
