URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-barlett-score-loinc,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Barlett_Score_LOINC,MII VS Mikrobio Barlett Score [LOINC],"Ergebnis-ValueSet für den Barlett-Score: Punktkategorien von +3 bis -1, die das Verhältnis von Entzündungs- zu Epithelzellen und damit die Eignung einer Sputumprobe für die Kultur bewerten.","StructureDefinition/mii-pr-mikrobio-barlett-score","LOINC"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-befundtyp-loinc,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Befundtyp_LOINC,MII VS Mikrobio Befundtyp [LOINC],"Sepzalisierte Kodierung von mikrobiologischen Befunden","StructureDefinition/mii-pr-mikrobio-diagnostic-report","LOINC"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-ct-wert-loinc,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_CT_Wert_LOINC,MII VS Mikrobio CT Wert [LOINC],"Tests-ValueSet für den Ct-Wert: LOINC-Codes mit der Eigenschaft Zyklusschwellenwert bei Nukleinsäurenachweisen.","StructureDefinition/mii-pr-mikrobio-ct-wert","LOINC"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-data-absent-reason,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Data_Absent_Reason,MII VS Mikrobio Data Absent Reason,"Gruende fuer ein fehlendes Untersuchungsergebnis. Ergaenzt die FHIR-Basiscodes um das unbestimmbare Ergebnis, das zuvor ueber value[x] kodiert wurde.","StructureDefinition/mii-pr-mikrobio-spezifische-kultur,StructureDefinition/mii-pr-mikrobio-antigen-antikoerper-quantitativ,StructureDefinition/mii-pr-mikrobio-mikroskopie,StructureDefinition/mii-pr-mikrobio-mrgn-klasse,StructureDefinition/mii-pr-mikrobio-spezifische-bestimmung,StructureDefinition/mii-pr-mikrobio-keimzahl,StructureDefinition/mii-pr-mikrobio-resistenzkategorie-status,StructureDefinition/mii-pr-mikrobio-virulenzfaktor,StructureDefinition/mii-pr-mikrobio-nugent-score,StructureDefinition/mii-pr-mikrobio-allgemeine-bestimmung,StructureDefinition/mii-pr-mikrobio-resistenzmechanismen-determinanten,StructureDefinition/mii-pr-mikrobio-allgemeine-kultur,StructureDefinition/mii-pr-mikrobio-aviditaet,StructureDefinition/mii-pr-mikrobio-barlett-score,StructureDefinition/mii-pr-mikrobio-titer,StructureDefinition/mii-pr-mikrobio-empfindlichkeit,StructureDefinition/mii-pr-mikrobio-ct-wert,StructureDefinition/mii-pr-mikrobio-voraussichtliche-empfindlichkeit,StructureDefinition/mii-pr-mikrobio-molekulare-pathogenlast","SCT"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-detected-not-detected-snomed,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Detected_Not_Detected_SNOMED,MII VS Mikrobio Detected Not Detected [SNOMED],"Ergebnis-ValueSet für zielgerichtete qualitative Nachweise: nachgewiesen oder nicht nachgewiesen. Ein unbestimmbares Ergebnis wird nicht hierüber, sondern über Observation.dataAbsentReason abgebildet.","StructureDefinition/mii-pr-mikrobio-resistenzmechanismen-determinanten,ValueSet/mii-vs-mikrobio-spezifische-bestimmung-ergebnis-snomed,StructureDefinition/mii-pr-mikrobio-virulenzfaktor","SCT"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-empfindlichkeit-einheiten-ucum,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Empfindlichkeit_Einheiten_UCUM,MII VS Mikrobio Empfindlichkeit Einheiten [UCUM],"Einheiten-ValueSet für die phänotypische Empfindlichkeitstestung (UCUM): minimale Hemmkonzentration in mg/L oder Hemmhofdurchmesser in mm.","StructureDefinition/mii-pr-mikrobio-empfindlichkeit","UCUM"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-empfindlichkeit-genotyp-loinc,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Empfaenglichkeit_Genotyp_LOINC,MII VS Mikrobio Empfänglichkeit Genotyp [LOINC],"Tests-ValueSet für die voraussichtliche Empfindlichkeit: LOINC-Codes für die aus dem Genotyp abgeleitete erwartete Wirksamkeit einer antimikrobiellen Substanz.","StructureDefinition/mii-pr-mikrobio-voraussichtliche-empfindlichkeit","LOINC"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-empfindlichkeit-phenotyp-loinc,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Empfindlichkeit_Phenotyp_LOINC,MII VS Mikrobio Empfindlichkeit Phenotyp [LOINC],"Tests-ValueSet für die phänotypische Empfindlichkeitstestung: LOINC-Codes der getesteten antimikrobiellen Substanz.","StructureDefinition/mii-pr-mikrobio-empfindlichkeit","LOINC"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-keimzahl-einheiten-ucum,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Keimzahl_Einheiten_UCUM,MII VS Mikrobio Keimzahl Einheiten [UCUM],"Einheiten-ValueSet für die Keimzahlbestimmung (UCUM): koloniebildende Einheiten je Volumen, je Masse oder als Anzahl je Probe.","StructureDefinition/mii-pr-mikrobio-keimzahl","UCUM"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-keimzahl-loinc,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Keimzahl_LOINC,MII VS Mikrobio Keimzahl [LOINC],"Tests-ValueSet für die Keimzahlbestimmung: LOINC-Codes für die quantitative Bestimmung lebensfähiger Mikroorganismen.","StructureDefinition/mii-pr-mikrobio-keimzahl","LOINC"
