"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ext-R5-Observation.triggeredBy","Extension.extension:reason.url","Extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""reason""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"ext-R5-Observation.triggeredBy","Extension.extension:reason.value[x]","Extension.extension.value[x]","","","",0,1,"","","","string {[]} {[]}
","Reason that the observation was triggered","Provides the reason why this observation was performed as a result of the observation(s) referenced.","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ext-R5-Observation.triggeredBy","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://hl7.org/fhir/5.0/StructureDefinition/extension-Observation.triggeredBy""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"ext-R5-Observation.triggeredBy","Extension.value[x]","Extension.value[x]","","","",0,0,"","","","base64Binary {[]} {[]}
boolean {[]} {[]}canonical {[]} {[]}code {[]} {[]}date {[]} {[]}dateTime {[]} {[]}decimal {[]} {[]}id {[]} {[]}instant {[]} {[]}integer {[]} {[]}markdown {[]} {[]}oid {[]} {[]}positiveInt {[]} {[]}string {[]} {[]}time {[]} {[]}unsignedInt {[]} {[]}uri {[]} {[]}url {[]} {[]}uuid {[]} {[]}Address {[]} {[]}Age {[]} {[]}Annotation {[]} {[]}Attachment {[]} {[]}CodeableConcept {[]} {[]}Coding {[]} {[]}ContactPoint {[]} {[]}Count {[]} {[]}Distance {[]} {[]}Duration {[]} {[]}HumanName {[]} {[]}Identifier {[]} {[]}Money {[]} {[]}Period {[]} {[]}Quantity {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}Reference {[]} {[]}SampledData {[]} {[]}Signature {[]} {[]}Timing {[]} {[]}ContactDetail {[]} {[]}Contributor {[]} {[]}DataRequirement {[]} {[]}Expression {[]} {[]}ParameterDefinition {[]} {[]}RelatedArtifact {[]} {[]}TriggerDefinition {[]} {[]}UsageContext {[]} {[]}Dosage {[]} {[]}Meta {[]} {[]}","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-ex-mikrobio-empfindlichkeit-norm","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-ex-mikrobio-empfindlichkeit-norm","Extension.id","Extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-ex-mikrobio-empfindlichkeit-norm","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-ex-mikrobio-empfindlichkeit-norm","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/StructureDefinition/mii-ex-mikrobio-empfindlichkeit-norm""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"mii-ex-mikrobio-empfindlichkeit-norm","Extension.value[x]","Extension.value[x]","","","",1,1,"Y","","","CodeableConcept {[]} {[]}
","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,"required","","https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-susceptibility-norm","",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mikrobio-logical-model","mii-lm-mikrobio-logical-model-de","mii-lm-mikrobio-logical-model-de","","","",0,*,"","","","null {[]} {[]}
","Mikrobiologischer Befund","Mikrobiologischer Befundbericht, der zusammengehörige mikrobiologische Untersuchungsergebnisse zusammenfasst und kontextualisiert.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mikrobio-logical-model","mii-lm-mikrobio-logical-model-de.id","mii-lm-mikrobio-logical-model-de.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-mikrobio-logical-model","mii-lm-mikrobio-logical-model-de.extension","mii-lm-mikrobio-logical-model-de.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mikrobio-logical-model","mii-lm-mikrobio-logical-model-de.Identifikation","mii-lm-mikrobio-logical-model-de.Identifikation","","","",1,*,"","","","Identifier {[]} {[]}
","Identifikation","Eindeutiger Identifikator des Befunds.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-logical-model-de.Identifikation",1,*,"",""
"mii-lm-mikrobio-logical-model","mii-lm-mikrobio-logical-model-de.Status","mii-lm-mikrobio-logical-model-de.Status","","","",1,1,"","","","code {[]} {[]}
","Status","Status des Befunds (z. B. vorläufig, final, korrigiert).","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-logical-model-de.Status",1,1,"",""
"mii-lm-mikrobio-logical-model","mii-lm-mikrobio-logical-model-de.Befundtyp","mii-lm-mikrobio-logical-model-de.Befundtyp","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Befundtyp","Fachliche Einordnung des mikrobiologischen Befunds (LOINC). Mehrfachangabe, wenn der Befund mehrere Studientypen umfasst, z. B. bakteriologisch und mykologisch.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-logical-model-de.Befundtyp",0,*,"",""
"mii-lm-mikrobio-logical-model","mii-lm-mikrobio-logical-model-de.Patient","mii-lm-mikrobio-logical-model-de.Patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","Patient","Patient, auf den sich der Befund bezieht.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-logical-model-de.Patient",1,1,"",""
"mii-lm-mikrobio-logical-model","mii-lm-mikrobio-logical-model-de.KlinischerBezugszeitpunkt","mii-lm-mikrobio-logical-model-de.KlinischerBezugszeitpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","Klinischer Bezugszeitpunkt","Zeitpunkt, auf den sich der Befund inhaltlich bezieht (in der Regel der Zeitpunkt der Probenentnahme).","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-logical-model-de.KlinischerBezugszeitpunkt",1,1,"",""
"mii-lm-mikrobio-logical-model","mii-lm-mikrobio-logical-model-de.QuelleKlinischerBezugszeitpunkt","mii-lm-mikrobio-logical-model-de.QuelleKlinischerBezugszeitpunkt","","","",0,1,"","","","Coding {[]} {[]}
","Quelle des klinischen Bezugszeitpunkts","Gibt an, worauf sich der klinische Bezugszeitpunkt bezieht, z. B. Zeitpunkt der Probenentnahme oder Laboreingang.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-logical-model-de.QuelleKlinischerBezugszeitpunkt",0,1,"",""
"mii-lm-mikrobio-logical-model","mii-lm-mikrobio-logical-model-de.Dokumentationszeitpunkt","mii-lm-mikrobio-logical-model-de.Dokumentationszeitpunkt","","","",0,1,"","","","dateTime {[]} {[]}
","Dokumentationszeitpunkt","Zeitpunkt, zu dem der Befund freigegeben bzw. verfügbar gemacht wurde.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-logical-model-de.Dokumentationszeitpunkt",0,1,"",""
"mii-lm-mikrobio-logical-model","mii-lm-mikrobio-logical-model-de.Anforderung","mii-lm-mikrobio-logical-model-de.Anforderung","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ServiceRequest]]}
","Anforderung","Zugrunde liegende Laboranforderung.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-logical-model-de.Anforderung",0,1,"",""
"mii-lm-mikrobio-logical-model","mii-lm-mikrobio-logical-model-de.Befundinterpret","mii-lm-mikrobio-logical-model-de.Befundinterpret","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner]]}
","Befundinterpret","Person, die den Befund fachlich beurteilt und verantwortet.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-logical-model-de.Befundinterpret",0,*,"",""
"mii-lm-mikrobio-logical-model","mii-lm-mikrobio-logical-model-de.Probenmaterial","mii-lm-mikrobio-logical-model-de.Probenmaterial","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Specimen]]}
","Probenmaterial","Probenmaterialien, auf denen der Befund beruht.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-logical-model-de.Probenmaterial",0,*,"",""
"mii-lm-mikrobio-logical-model","mii-lm-mikrobio-logical-model-de.Untersuchung","mii-lm-mikrobio-logical-model-de.Untersuchung","","","",0,*,"","","","Reference {[]} {[CanonicalType[https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/StructureDefinition/mii-lm-mikrobio-untersuchung]]}
","Untersuchung","Die im Befund enthaltenen mikrobiologischen Untersuchungen.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-logical-model-de.Untersuchung",0,*,"",""
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung","","","",0,*,"","","","null {[]} {[]}
","Mikrobiologische Untersuchung","Abstrakte Basis einer mikrobiologischen Untersuchung. Die fachlichen Ausprägungen (Kultur, Bestimmung, Weitere Eigenschaften, Quantitative Tests) leiten von dieser Klasse ab und ergänzen sie um ihre jeweils spezifischen Attribute.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung.id","mii-lm-mikrobio-untersuchung.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung.extension","mii-lm-mikrobio-untersuchung.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung.Identifikation","mii-lm-mikrobio-untersuchung.Identifikation","","","",1,*,"","","","Identifier {[]} {[]}
","Identifikation","Eindeutiger Identifikator der Untersuchung.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Identifikation",1,*,"",""
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung.Status","mii-lm-mikrobio-untersuchung.Status","","","",1,1,"","","","code {[]} {[]}
","Status","Status der Untersuchung (z. B. vorläufig, final, korrigiert).","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Status",1,1,"",""
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung.Patient","mii-lm-mikrobio-untersuchung.Patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","Patient","Patient, von dem das untersuchte Probenmaterial stammt.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Patient",1,1,"",""
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung.Probenmaterial","mii-lm-mikrobio-untersuchung.Probenmaterial","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Specimen]]}
","Probenmaterial","Untersuchtes Probenmaterial. Die Probenart wird über das Probenmaterial abgebildet und nicht über präkoordinierte Untersuchungscodes.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Probenmaterial",1,1,"",""
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung.Untersuchungszeitpunkt","mii-lm-mikrobio-untersuchung.Untersuchungszeitpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","Untersuchungszeitpunkt","Klinisch relevanter Zeitpunkt der Untersuchung.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Untersuchungszeitpunkt",1,1,"",""
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung.QuelleUntersuchungszeitpunkt","mii-lm-mikrobio-untersuchung.QuelleUntersuchungszeitpunkt","","","",0,1,"","","","Coding {[]} {[]}
","Quelle des Untersuchungszeitpunkts","Gibt an, worauf sich der Untersuchungszeitpunkt bezieht, z. B. Zeitpunkt der Probenentnahme oder Laboreingang.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.QuelleUntersuchungszeitpunkt",0,1,"",""
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung.Dokumentationszeitpunkt","mii-lm-mikrobio-untersuchung.Dokumentationszeitpunkt","","","",0,1,"","","","dateTime {[]} {[]}
","Dokumentationszeitpunkt","Zeitpunkt, zu dem das Untersuchungsergebnis verfügbar gemacht wurde.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Dokumentationszeitpunkt",0,1,"",""
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung.InterpretationsbeeinflussendeEigenschaft","mii-lm-mikrobio-untersuchung.InterpretationsbeeinflussendeEigenschaft","","","",0,*,"","","","Coding {[]} {[]}
","Interpretationsbeeinflussende Eigenschaft","Eigenschaft der Untersuchung oder der Probe, die die Interpretation des Ergebnisses einschränkt oder verändert, z. B. Hämolyse, Lipämie oder unzureichende Probenmenge. Die Angabe verändert die Bedeutung des Ergebnisses und darf nicht ignoriert werden.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.InterpretationsbeeinflussendeEigenschaft",0,*,"",""
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung.Hinweis","mii-lm-mikrobio-untersuchung.Hinweis","","","",0,*,"","","","string {[]} {[]}
","Hinweis","Freitextliche Kommentierung der Untersuchung.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Hinweis",0,*,"",""
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung.AusloesendeUntersuchung","mii-lm-mikrobio-untersuchung.AusloesendeUntersuchung","","","",0,*,"","","","BackboneElement {[]} {[]}
","Auslösende Untersuchung","Vorangegangene Untersuchung, die diese Untersuchung ausgelöst hat, z. B. eine durch ein Vorergebnis angestoßene Folgediagnostik (Reflextestung).","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.AusloesendeUntersuchung",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung.AusloesendeUntersuchung.id","mii-lm-mikrobio-untersuchung.AusloesendeUntersuchung.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung.AusloesendeUntersuchung.extension","mii-lm-mikrobio-untersuchung.AusloesendeUntersuchung.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
