guide_key	version	flags	date	package_pin
mii-ig-modul-mikrobiologie-2025-de	2025.0.1	Default,Read-only,Public	2024-12-20 11:49	de.medizininformatikinitiative.kerndatensatz.mikrobiologie@2025.0.1
mii-ig-modul-mikrobiologie-2027-de	2027.0.0-alpha.5	Default,Read-only,Public	2026-06-26 10:19	de.medizininformatikinitiative.kerndatensatz.mikrobiologie@2027.0.0-alpha.5
